ID,Information_centrality,Degree_centrality,Betweenness_centrality,Eigenvector_centrality,Closeness_centrality,clustering_coefficient,Load_centrality,Page_rank
AT4G37610,,0.0005528934758569849,5.841665425746881e-06,8.810348825494941e-13,0.00767920028533552,0.0,9.93986884077436e-06,0.0001736808720805965
AT5G63160,,0.00036859565057132326,1.3588779744564914e-08,1.2766863929319367e-13,0.005539554399851808,0.0,1.358877974456491e-08,0.00012331713789751736
AT5G67480,,0.0005528934758569849,5.841665425746881e-06,8.810348825494941e-13,0.00767920028533552,0.0,9.93986884077436e-06,0.0001736808720805965
AT1G07550,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT1G07560,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT1G33260,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT1G49100,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT1G51805,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT1G51810,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT1G51820,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT1G51830,,0.00036859565057132326,1.3724667542010564e-05,7.76906692572832e-12,0.009411064538038203,0.0,1.3724667542010563e-05,0.0001729046869486561
AT1G51850,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT1G51870,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT2G04300,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT2G14440,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT2G14510,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT2G28960,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT2G28970,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT2G28990,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT2G29000,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT3G21340,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT3G46330,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT3G46340,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
AT3G46350,,0.00018429782528566163,0.0,7.701752838375762e-12,0.00938779861829027,0.0,0.0,8.711276986184698e-05
